mechanics,collectible,race,name,faction,text,artist,rarity,attack,cost,health,howToGetGold,inPlayText,flavor,howToGet,type,id,playerClass,elite,durability
,,,Force AI to Use Hero Power,,Force the AI to use their Hero Power every turn from now on.,,Common,,0,,,,,,Spell,XXX_046,,,
,,,Free Cards,,Your cards cost (0) for the rest of the game.,,Common,,0,,,,,,Spell,XXX_022,,,
,,,Free Cards,,Your cards cost (0) for the rest of the game.,,,,,,,,,,Enchantment,XXX_022e,,,
['Freeze'],,,Freeze,,<b>Freeze</b> a character.,,Common,,0,,,,,,Spell,XXX_008,,,
,,,Grant Mega-Windfury,,Give a minion <b>Mega-Windfury</b>.,,Common,,0,,,,,,Spell,XXX_052,,,
,,,Hand Swapper Minion,,"<b>Battlecry:</b> Discard 3 cards, then draw 3 cards.",,Common,5,0,5,,,,,Minion,XXX_044,,,
,,,Hand to Deck,,Shuffle a player's hand into his deck.,,Common,,0,,,,,,Spell,XXX_042,,,
,,,Hogger,,,,,,,10,,,,,Hero,XXX_040,Warrior,,
,,,Make Immune,,Permanently make a character <b>Immune</b>.,,Common,,0,,,,,,Spell,XXX_051,,,
,,,Mill 10,,Put 10 cards from a hero's deck into his graveyard.,,Common,,0,,,,,,Spell,XXX_014,,,
,,,Mill 30,,Put 30 cards from a hero's deck into his graveyard.,,Common,,0,,,,,,Spell,XXX_043,,,
,,,Molasses,,You can take as long as you want on your turn.,,Common,,,,,,,,Spell,XXX_019,,,
,,,Opponent Concede,,Force your opponent to concede.,,,,0,,,,,,Spell,XXX_029,,,
,,,Opponent Disconnect,,Force your opponnet to disconnect.,,Common,,0,,,,,,Spell,XXX_030,,,
,,,Restore 1,,Restore 1 Health to a character.,,Common,,0,,,,,,Spell,XXX_003,,,
,,,Restore 5,,Restore 5 Health to a character.,,Common,,0,,,,,,Spell,XXX_004,,,
,,,Restore All Health,,Restore all Health to a character.,,Common,,0,,,,,,Spell,XXX_021,,,
,,,Reveal Hand,,,,Common,,,,,,,,Spell,XXX_028,,,
,,,Server Crash,,Crash the Server.  DON'T BE A FOOL.,,,,,,,,,,Spell,XXX_027,,,
,,,Silence - debug,,Remove all enchantments and powers from a minion.,,Common,,0,,,,,,Spell,XXX_010,,,
,,,Silence Destroy,,Silence and Destroy ALL Minions.,,,,0,,,,,,Spell,XXX_056,,,
,,,Snake Ball,,Summon five 1/1 snakes.,,,,0,,,,,,Spell,XXX_016,,,
,,,Steal Card,,Steal a random card from your opponent.,,Common,,0,,,,,,Spell,XXX_045,,,
,,,Summon a random Secret,,Summon a secret from your deck.,,Common,,0,,,,,,Spell,XXX_011,,,
,,,Weapon Buff,,Give your Weapon +100/+100,,,,0,,,,,,Spell,XXX_054,,,
,,,Weapon Buff Enchant,,,,,,,,,,,,Enchantment,XXX_054e,,,
