mechanics,collectible,race,name,faction,text,artist,rarity,attack,cost,health,howToGetGold,inPlayText,flavor,howToGet,type,id,playerClass,elite,durability
['Battlecry'],True,,Cabal Shadow Priest,Neutral,<b>Battlecry:</b> Take control of an enemy minion that has 2 or less Attack.,Chippy,Epic,4,6,5,,,You never know who may be secretly working for the Cabal....,,Minion,EX1_091,Priest,,
['Deathrattle'],True,,Cairne Bloodhoof,Alliance,<b>Deathrattle:</b> Summon a 4/5 Baine Bloodhoof.,Wayne Reynolds,Legendary,4,6,5,,,"Cairne was killed by Garrosh, so... don't put this guy in a Warrior deck.  It's pretty insensitive.",,Minion,EX1_110,,True,
,,,Cannibalize,,Increased Attack.,,,,,,,,,,Enchantment,tt_004o,,,
['Battlecry'],True,Pirate,Captain Greenskin,,<b>Battlecry:</b> Give your weapon +1/+1.,Dan Scott,Legendary,5,5,4,,,He was <i>this close</i> to piloting a massive juggernaut into Stormwind Harbor. If it weren't for those pesky kids!,,Minion,NEW1_024,,True,
,,,Cat Form,Neutral,<b>Charge</b>,,Common,,,,,,,,Spell,EX1_165a,Druid,,
,True,,Cenarius,Neutral,<b>Choose One</b> - Give your other minions +2/+2; or Summon two 2/2 Treants with <b>Taunt</b>.,Alex Horley Orlandelli,Legendary,5,9,8,,Demigod,"Yes, he's a demigod. No, he doesn't need to wear a shirt.",,Minion,EX1_573,Druid,True,
,True,,Circle of Healing,,Restore #4 Health to ALL minions.,Daarken,Common,,0,,,,It isn't really a circle.,,Spell,EX1_621,Priest,,
,,,Cold Blood,,+2 Attack.,,,,,,,,,,Enchantment,CS2_073e,Rogue,,
['Combo'],True,,Cold Blood,Neutral,Give a minion +2 Attack. <b>Combo:</b> +4 Attack instead.,Alex Horley Orlandelli,Common,,1,,,,"""I'm cold blooded, check it and see!""",,Spell,CS2_073,Rogue,,
,,,Cold Blood,,+4 Attack.,,,,,,,,,,Enchantment,CS2_073e2,Rogue,,
['Battlecry'],True,Murloc,Coldlight Oracle,Neutral,<b>Battlecry:</b> Each player draws 2 cards.,Steve Prescott,Rare,2,3,2,,,They can see the future.   In that future both players draw more cards.   Spoooky.,,Minion,EX1_050,,,
['Battlecry'],True,Murloc,Coldlight Seer,Neutral,<b>Battlecry:</b> Give ALL other Murlocs +2 Health.,Arthur Gimaldinov,Rare,2,3,3,,,"The Coldlight murlocs reside in the darkest pits of the Abyssal Depths.  So no, there's no getting away from murlocs.",,Minion,EX1_103,,,
['OneTurnEffect'],,,Commanding Shout,,Your minions can't be reduced below 1 Health this turn.,,,,,,,,,,Enchantment,NEW1_036e2,Warrior,,
,True,,Commanding Shout,,Your minions can't be reduced below 1 Health this turn. Draw a card.,Wayne Reynolds,Rare,,2,,,,"""Shout! Shout! Let it all out!"" - Advice to warriors-in-training",,Spell,NEW1_036,Warrior,,
['OneTurnEffect'],,,Commanding Shout,,Can't be reduced below 1 Health this turn.,,,,,,,,,,Enchantment,NEW1_036e,Warrior,,
,True,,Conceal,Neutral,Give your minions <b>Stealth</b> until your next turn.,Steve Hui,Common,,1,,,,Rogues conceal everything but their emotions.  You can't get 'em to shut up about feelings.,,Spell,EX1_128,Rogue,,
,,,Concealed,,Stealthed until your next turn.,,,,,,,,,,Enchantment,EX1_128e,Rogue,,
['Freeze'],True,,Cone of Cold,Neutral,"<b>Freeze</b> a minion and the minions next to it, and deal $1 damage to them.",Leo Che,Common,,4,,,,Magi of the Kirin Tor were casting Cubes of Cold for many years before Cones came into fashion some 90 years ago.,,Spell,EX1_275,Mage,,
,,,Consume,,Increased stats.,,,,,,,,,,Enchantment,EX1_304e,Warlock,,
['Secret'],True,,Counterspell,Neutral,"<b>Secret:</b> When your opponent casts a spell, <b>Counter</b> it.",Jason Chan,Rare,,3,,,,What's the difference between a mage playing with Counterspell and a mage who isn't?  The mage who isn't is getting Pyroblasted in the face.,,Spell,EX1_287,Mage,,
['Battlecry'],True,,Crazed Alchemist,Neutral,<b>Battlecry:</b> Swap the Attack and Health of a minion.,Tom Fleming,Rare,2,2,2,,,"""You'll <i>love</i> my new recipe!"" he says... especially if you're not happy with your current number of limbs.",,Minion,EX1_059,,,
['Battlecry'],True,,Cruel Taskmaster,Neutral,<b>Battlecry:</b> Deal 1 damage to a minion and give it +2 Attack.,Phroilan Gardner,Common,2,2,2,,,"""I'm going to need you to come in on Sunday."" - Cruel Taskmaster",,Minion,EX1_603,Warrior,,
,True,,Cult Master,Neutral,"Whenever one of your other minions dies, draw a card.",Raymond Swanland,Common,4,4,2,,Cultist,"She may be an evil cult master, but she still calls her parents once a week.",,Minion,EX1_595,,,
,,Mech,Damaged Golem,Neutral,,,Common,2,1,1,,,,,Minion,skele21,,,
,,,Dark Command,,This minion has switched controllers this turn.,,,,,,,,,,Enchantment,EX1_334e,Priest,,
['Battlecry'],True,,Dark Iron Dwarf,Alliance,<b>Battlecry:</b> Give a minion +2 Attack this turn.,Scott Hampton,Common,4,4,4,,,"Guardians of Dark Iron Ore.  Perhaps the most annoying ore, given where you have to forge it.",,Minion,EX1_046,,,
,True,,Deadly Shot,Neutral,Destroy a random enemy minion.,Steve Prescott,Common,,3,,,,"Accuracy is not a highly valued trait among the mok'nathal.  Deadliness is near the top, though.",,Spell,EX1_617,Hunter,,
['Battlecry'],True,Dragon,Deathwing,,<b>Battlecry:</b> Destroy all other minions and discard your hand.,Bernie Kang,Legendary,12,10,12,,,"Once a noble dragon known as Neltharion, Deathwing lost his mind and shattered Azeroth before finally being defeated.  Daddy issues?",,Minion,NEW1_030,,True,
,,,Defender,Neutral,,,Common,2,1,1,,,,,Minion,EX1_130a,Paladin,,
['Battlecry'],True,,Defender of Argus,Alliance,<b>Battlecry:</b> Give adjacent minions +1/+1 and <b>Taunt</b>.,Alex Horley Orlandelli,Rare,2,4,3,,,You wouldn’t think that Argus would need this much defending.  But it does.,,Minion,EX1_093,,,
,,,Defias Bandit,Neutral,,,,2,1,1,,,,,Minion,EX1_131t,Rogue,,
['Combo'],True,,Defias Ringleader,Neutral,<b>Combo:</b> Summon a 2/1 Defias Bandit.,Dany Orizio,Common,2,2,2,,,"He stole the deed to town years ago, so technically the town <i>is</i> his. He just calls people Scrub to be mean.",,Minion,EX1_131,Rogue,,
,,,Demigod's Favor,Neutral,+2/+2.,,,,,,,,,,Enchantment,EX1_573ae,Druid,,
,,,Demigod's Favor,Neutral,Give your other minions +2/+2.,,,,,,,,,,Spell,EX1_573a,Druid,,
,True,Mech,Demolisher,Neutral,"At the start of your turn, deal 2 damage to a random enemy.",Raymond Swanland,Rare,1,3,4,,Catapult,"Laying siege isn't fun for anyone.  It's not even all that effective, now that everyone has a flying mount.",,Minion,EX1_102,,,
,True,,Demonfire,Neutral,"Deal $2 damage to a minion. If it’s a friendly Demon, give it +2/+2 instead.",Ben Wootten,Common,,2,,,,Demonfire is like regular fire except for IT NEVER STOPS BURNING HELLLPPP,,Spell,EX1_596,Warlock,,
,,,Demonfire,Neutral,This Demon has +2/+2.,,Common,,0,,,,,,Enchantment,EX1_596e,Warlock,,
['OneTurnEffect'],,,Demoralizing Roar,,This minion has -3 Attack this turn.,,,,,,,,,,Enchantment,EX1_161o,Druid,,
,,Beast,Devilsaur,Neutral,,,Common,5,5,5,,,,,Minion,EX1_tk29,,,
"['AdjacentBuff', 'Aura']",True,Beast,Dire Wolf Alpha,Neutral,Adjacent minions have +1 Attack.,John Dickenson,Common,2,2,2,,Alpha Dog,"We are pretty excited about the upcoming release of Dire Wolf Beta, just repost this sign for a chance at a key.",,Minion,EX1_162,,,
['Silence'],,,Dispel,Neutral,<b>Silence</b> a minion.,,,,,,,,,,Spell,EX1_166b,Druid,,
,True,,Divine Favor,Neutral,Draw cards until you have as many in hand as your opponent.,Lucas Graciano,Rare,,3,,,,"This is not just a favor, but a divine one, like helping someone move a couch with a fold out bed!",,Spell,EX1_349,Paladin,,
"['Battlecry', 'Charge']",True,Demon,Doomguard,Neutral,<b>Charge</b>. <b>Battlecry:</b> Discard two random cards.,Lucas Graciano,Rare,5,5,7,,,Summoning a doomguard is risky. <i>Someone</i> is going to die.,,Minion,EX1_310,Warlock,,
['Windfury'],True,,Doomhammer,Neutral,"<b>Windfury, Overload:</b> (2)",John Polidora,Epic,2,5,,,,Orgrim Doomhammer gave this legendary weapon to Thrall.  His name is a total coincidence.,,Weapon,EX1_567,Shaman,,8
,True,,Doomsayer,,"At the start of your turn, destroy ALL minions.",Alex Horley Orlandelli,Epic,0,2,7,,,He's almost been right so many times. He was <i>sure</i> it was coming during the Cataclysm.,,Minion,NEW1_021,,,
['Taunt'],True,Pirate,Dread Corsair,,<b>Taunt.</b> Costs (1) less per Attack of your weapon.,Trent Kaniuga,Common,3,4,3,,,"""Yarrrr"" is a pirate word that means ""Greetings, milord.""",,Minion,NEW1_022,,,
,,,Dream,,Return a minion to its owner's hand.,,,,0,,,,,,Spell,DREAM_04,Dream,,
['Taunt'],,Beast,Druid of the Claw,,<b>Taunt</b>,,Common,4,5,6,,,,,Minion,EX1_165t2,Druid,,
,True,,Druid of the Claw,Neutral,<b>Choose One -</b> <b>Charge</b>; or +2 Health and <b>Taunt</b>.,Luca Zontini,Common,4,5,4,,,Cat or Bear?  Cat or Bear?!  I just cannot CHOOSE!,,Minion,EX1_165,Druid,,
['Charge'],,Beast,Druid of the Claw,,<b>Charge</b>,,Common,4,5,4,,,,,Minion,EX1_165t1,Druid,,
['Windfury'],True,,Dust Devil,Neutral,<b>Windfury</b>. <b>Overload:</b> (2),Raymond Swanland,Common,3,1,1,,,Westfall is full of dust devils. And buzzards. And crazed golems. And pirates. Why does anyone live here?,,Minion,EX1_243,Shaman,,
,True,,Eaglehorn Bow,,"Whenever a friendly <b>Secret</b> is revealed, gain +1 Durability.",Cyril Van Der Haegen,Rare,3,3,,,,First Lesson: Put the pointy end in the other guy.,,Weapon,EX1_536,Hunter,,2
['Taunt'],True,,Earth Elemental,Neutral,<b>Taunt</b>. <b>Overload:</b> (3),Dan Scott,Epic,7,5,8,,,Nothing beats rock.,,Minion,EX1_250,Shaman,,
['Silence'],True,,Earth Shock,Neutral,"<b>Silence</b> a minion, then deal $1 damage to it.",Kevin Chin,Common,,1,,,,"Earth Shock? Shouldn't it be ""Azeroth Shock""?",,Spell,EX1_245,Shaman,,
['Battlecry'],True,,Earthen Ring Farseer,,<b>Battlecry:</b> Restore 3 Health.,Alex Horley Orlandelli,Common,3,3,3,,,"He can see really far, and he doesn't use a telescope like those filthy pirates.",,Minion,CS2_117,,,
['Combo'],True,,Edwin VanCleef,Neutral,<b>Combo:</b> Gain +2/+2 for each card played earlier this turn.,Efrem Palacios,Legendary,2,3,2,,,"He led the Stonemasons in the reconstruction of Stormwind, and when the nobles refused to pay, he founded the Defias Brotherhood to, well, <i>deconstruct</i> Stormwind.",,Minion,EX1_613,Rogue,True,
,,,Elune's Grace,,Increased Health.,,,,,,,,,,Enchantment,EX1_004e,,,
,,Dragon,Emerald Drake,,,,,7,4,6,,,,,Minion,DREAM_03,Dream,,
['Poisonous'],True,Beast,Emperor Cobra,Neutral,Destroy any minion damaged by this minion.,Lars Grant-West,Rare,2,3,3,,Fanged,"The Sholazar Basin is home to a lot of really horrible things. If you're going to visit, wear bug spray.  And plate armor.",,Minion,EX1_170,,,
['OneTurnEffect'],,,Empowered,,Mana Addict has increased Attack.,,,,,,,,,,Enchantment,EX1_055o,,,
,,,Equality,,Health changed to 1.,,,,,,,,,,Enchantment,EX1_619e,Paladin,,
,True,,Equality,Neutral,Change the Health of ALL minions to 1.,Michal Ivan,Rare,,2,,,,We are all special unique snowflakes... with 1 Health.,,Spell,EX1_619,Paladin,,
,False,,Equipped,,Increased Attack.,,,,,,,,,,Enchantment,NEW1_037e,,,
,True,,Ethereal Arcanist,,"If you control a <b>Secret</b> at the end of your turn, gain +2/+2.",Michael Komarck,Rare,3,4,3,,,The ethereals are wrapped in cloth to give form to their non-corporeal bodies. Also because it's nice and soft.,,Minion,EX1_274,Mage,False,
['Combo'],True,,Eviscerate,Neutral,Deal $2 damage. <b>Combo:</b> Deal $4 damage instead.,Ariel Olivetti,Common,,2,,,,There is a high cost to Eviscerating your opponent:  It takes a long time to get blood stains out of leather armor.,,Spell,EX1_124,Rogue,,
,,,Experiments!,,Attack and Health have been swapped by Crazed Alchemist.,,,,,,,,,,Enchantment,EX1_059e,,,
,True,,Explosive Shot,Neutral,Deal $5 damage to a minion and $2 damage to adjacent ones.,Tom Baxa,Rare,,5,,,,"Pull the pin, count to 5, then shoot.  Then duck.",,Spell,EX1_537,Hunter,,
['Secret'],True,,Explosive Trap,Neutral,"<b>Secret:</b> When your hero is attacked, deal $2 damage to all enemies.",Brandon Kitkouski,Common,,2,,,,It traps your food AND cooks it for you!,,Spell,EX1_610,Hunter,,
['Secret'],True,,Eye for an Eye,Neutral,"<b>Secret:</b> When your hero takes damage, deal that much damage to the enemy hero.",James Ryman,Common,,1,,,,Justice sometimes takes the form of a closed fist into a soft cheek.,,Spell,EX1_132,Paladin,,
['Battlecry'],True,,Faceless Manipulator,Neutral,<b>Battlecry:</b> Choose a minion and become a copy of it.,Raymond Swanland,Epic,3,5,3,,,"The Faceless Ones are servants of Yogg-Saron, and they feed on fear. Right now they are feeding on your fear of accidentally disenchanting all your good cards.",,Minion,EX1_564,,,
,True,Dragon,Faerie Dragon,,Can't be targeted by spells or Hero Powers.,Samwise,Common,3,2,2,,,Adorable.  Immune to Magic.  Doesn't pee on the rug.  The perfect pet!,,Minion,NEW1_023,,,
,,,Far Sight,,One of your cards costs (3) less.,Lars Grant-West,,,,,,,,,Enchantment,CS2_053e,Shaman,,
,True,,Far Sight,Neutral,Draw a card. That card costs (3) less.,Lars Grant-West,Epic,,3,,,,"Drek'thar can't see, but he can <i>see</i>. You know what I mean? It's ok if you don't.",,Spell,CS2_053,Shaman,,
"['Battlecry', 'Taunt']",True,Demon,Felguard,Neutral,<b>Taunt</b>. <b>Battlecry:</b> Destroy one of your Mana Crystals.,John Polidora,Rare,3,3,5,,,"Yes, he'll fight for you.  BUT HE'S NOT GOING TO LIKE IT.",,Minion,EX1_301,Warlock,,
['Taunt'],True,,Fen Creeper,Alliance,<b>Taunt</b>,Monica Langlois,Common,3,5,6,,,"He used to be called Bog Beast, but it confused people because he wasn't an actual beast.   Boom, New Name!",,Minion,CS1_069,,,
,True,,Feral Spirit,Neutral,Summon two 2/3 Spirit Wolves with <b>Taunt</b>. <b>Overload:</b> (2),Clint Langley,Rare,,3,,,,Spirit wolves are like regular wolves with pom-poms.,,Spell,EX1_248,Shaman,,
,,,Finkle Einhorn,Neutral,,,Legendary,3,2,3,,,,,Minion,EX1_finkle,,True,
['Battlecry'],True,Demon,Flame Imp,Neutral,<b>Battlecry:</b> Deal 3 damage to your hero.,Alex Horley Orlandelli,Common,3,1,2,,,Imps like being on fire.  They just do.,,Minion,EX1_319,Warlock,,
,,,Flame of Azzinoth,,,,,2,1,1,,,,,Minion,EX1_614t,,,
,True,,Flare,Neutral,All minions lose <b>Stealth</b>. Destroy all enemy <b>Secrets</b>. Draw a card.,Tyler Walpole,Rare,,2,,,,"Not only does it reveal your enemies, but it's also great for parties!",,Spell,EX1_544,Hunter,,
,True,,Flesheating Ghoul,Neutral,"Whenever a minion dies, gain +1 Attack.",Alex Horley Orlandelli,Common,2,3,3,,Cannibalism,'Flesheating' is an unfair name.  It's just that there's not really much else for him to eat.,,Minion,tt_004,,,
